budget,id,original_language,original_title,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count
60000000,137106,en,The Lego Movie,59.547928,6/02/2014,469160692,100,Released,The Lego Movie,7.5,3070
0,10040,en,Miss Congeniality 2: Armed and Fabulous,19.998581,11/03/2005,0,115,Released,Miss Congeniality 2: Armed and Fabulous,5.3,425
60000000,6278,en,Reign of Fire,27.615108,12/07/2002,43061982,101,Released,Reign of Fire,6,669
60000000,82682,en,Gangster Squad,29.041198,10/01/2013,105200903,113,Released,Gangster Squad,6.2,1778
60000000,17610,en,Year One,25.293538,18/06/2009,62357900,97,Released,Year One,4.6,524
60000000,22954,en,Invictus,23.85119,10/12/2009,122233971,134,Released,Invictus,7,1125
60000000,16995,en,State of Play,21.685719,17/04/2009,87784194,127,Released,State of Play,6.7,484
78146652,16558,en,Duplicity,13.630049,19/03/2009,60000000,125,Released,Duplicity,5.7,201
65000000,9849,en,My Favorite Martian,6.80692,11/02/1999,36850101,94,Released,My Favorite Martian,5.1,80
60000000,5820,en,The Sentinel,15.352807,19/04/2006,77920346,108,Released,The Sentinel,5.8,225
70000000,16866,en,Planet 51,23.661071,19/11/2009,104945765,91,Released,Planet 51,5.6,556
60000000,201,en,Star Trek: Nemesis,21.605533,13/12/2002,67312826,117,Released,Star Trek: Nemesis,6.1,479
60000000,11775,en,Intolerable Cruelty,22.620125,2/09/2003,119940815,100,Released,Intolerable Cruelty,5.8,391
0,87825,en,Trouble with the Curve,18.587114,21/09/2012,0,111,Released,Trouble with the Curve,6.6,366
80000000,12201,en,Edge of Darkness,24.657931,29/01/2010,74901339,117,Released,Edge of Darkness,6.2,487
60000000,11015,en,The Relic,12.621769,10/01/1997,33956608,110,Released,The Relic,5.8,130
60000000,9932,en,Analyze That,21.08952,6/12/2002,55003135,96,Released,Analyze That,5.7,380
60000000,13389,en,Righteous Kill,18.380176,11/09/2008,73174566,101,Released,Righteous Kill,5.9,375
60000000,8838,en,Mercury Rising,18.877795,3/04/1998,0,111,Released,Mercury Rising,6,368
60000000,17332,en,The Soloist,17.299333,24/04/2009,31720158,109,Released,The Soloist,6.6,234
80000000,4958,en,The Legend of Bagger Vance,16.848899,2/11/2000,39459427,126,Released,The Legend of Bagger Vance,6.3,251
60000000,786,en,Almost Famous,21.547446,15/09/2000,47383689,122,Released,Almost Famous,7.4,797
0,9513,en,Garfield: A Tail of Two Kitties,16.930969,15/06/2006,141702264,78,Released,Garfield: A Tail of Two Kitties,5.1,464
60000000,11679,en,xXx: State of the Union,36.689223,27/04/2005,71073932,101,Released,xXx: State of the Union,4.7,549
60000000,38321,en,Priest,28.350927,5/05/2011,78309131,87,Released,Priest,5.4,692
60000000,14411,en,Sinbad: Legend of the Seven Seas,18.815442,2/07/2003,26288320,86,Released,Sinbad: Legend of the Seven Seas,6.6,372
60000000,8413,en,Event Horizon,29.787135,15/08/1997,26673242,96,Released,Event Horizon,6.5,742
60000000,10052,en,Dragonfly,8.927137,22/02/2002,52322400,104,Released,Dragonfly,6.1,204
50000000,9676,en,The Black Dahlia,15.213484,15/09/2006,49111202,121,Released,The Black Dahlia,5.7,287
60000000,9664,en,Flyboys,13.155999,22/09/2006,17800000,140,Released,Flyboys,6.3,271
72000000,2100,en,The Last Castle,15.433244,19/10/2001,27642707,131,Released,The Last Castle,7,285
90000000,10384,en,Supernova,5.762037,14/01/2000,14828081,91,Released,Supernova,4.9,109
60000000,137321,en,Winter's Tale,22.736038,13/02/2014,30800231,118,Released,Winter's Tale,6,487
